序号,变量名,数据类型,数据值1,数据值2,数据值3,数据值4,注释,
1,D75,INT,,,,,待机位-电机1,
2,D76,INT,,,,,待机位-电机2,
3,D77,INT,,,,,待机位-电机3,
4,D78,INT,,,,,待机位-电机4,
5,D79,INT,,,,,待机位-电机5,
6,D80,INT,,,,,待机位-电机6,
7,D81,INT,,,,,待机位-电机7,
8,D82,INT,,,,,待机位-电机8,
9,D83,INT,,,,,待机位-电机9,
10,D84,INT,,,,,待机位-电机10,
11,D85,INT,,,,,工位1-电机1,
12,D86,INT,,,,,工位1-电机2,
13,D87,INT,,,,,工位1-电机3,
14,D88,INT,,,,,工位1-电机4,
15,D89,INT,,,,,工位1-电机5,
16,D90,INT,,,,,工位1-电机6,
17,D91,INT,,,,,工位1-电机7,
18,D92,INT,,,,,工位1-电机8,
19,D93,INT,,,,,工位1-电机9,
20,D94,INT,,,,,工位1-电机10,
21,D95,INT,,,,,工位2-电机1,
22,D96,INT,,,,,工位2-电机2,
23,D97,INT,,,,,工位2-电机3,
24,D98,INT,,,,,工位2-电机4,
25,D99,INT,,,,,工位2-电机5,
26,D100,INT,,,,,工位2-电机6,
27,D101,INT,,,,,工位2-电机7,
28,D102,INT,,,,,工位2-电机8,
29,D103,INT,,,,,工位2-电机9,
30,D104,INT,,,,,工位2-电机10,
31,D105,INT,,,,,工位3-电机1,
32,D106,INT,,,,,工位3-电机2,
33,D107,INT,,,,,工位3-电机3,
34,D108,INT,,,,,工位3-电机4,
35,D109,INT,,,,,工位3-电机5,
36,D110,INT,,,,,工位3-电机6,
37,D111,INT,,,,,工位3-电机7,
38,D112,INT,,,,,工位3-电机8,
39,D113,INT,,,,,工位3-电机9,
40,D114,INT,,,,,工位3-电机10,
41,D115,INT,,,,,工位4-电机1,
42,D116,INT,,,,,工位4-电机2,
43,D117,INT,,,,,工位4-电机3,
44,D118,INT,,,,,工位4-电机4,
45,D119,INT,,,,,工位4-电机5,
46,D120,INT,,,,,工位4-电机6,
47,D121,INT,,,,,工位4-电机7,
48,D122,INT,,,,,工位4-电机8,
49,D123,INT,,,,,工位4-电机9,
50,D124,INT,,,,,工位4-电机10,
51,D125,INT,,,,,工位5-电机1,
52,D126,INT,,,,,工位5-电机2,
53,D127,INT,,,,,工位5-电机3,
54,D128,INT,,,,,工位5-电机4,
55,D129,INT,,,,,工位5-电机5,
56,D130,INT,,,,,工位5-电机6,
57,D131,INT,,,,,工位5-电机7,
58,D132,INT,,,,,工位5-电机8,
59,D133,INT,,,,,工位5-电机9,
60,D134,INT,,,,,工位5-电机10,
61,D135,INT,,,,,速度设置-电机1,
62,D136,INT,,,,,速度设置-电机2,
63,D137,INT,,,,,速度设置-电机3,
64,D138,INT,,,,,速度设置-电机4,
65,D139,INT,,,,,速度设置-电机5,
66,D140,INT,,,,,速度设置-电机6,
67,D141,INT,,,,,速度设置-电机7,
68,D142,INT,,,,,速度设置-电机8,
69,D143,INT,,,,,速度设置-电机9,
70,D144,INT,,,,,速度设置-电机10,
